app_name|ION HVAC/R
app_version|App Version
actions|Actions
active|Active
add|Add
add_selected|Add Selected
address|Address
alarm|Alarm
alert|Alert
allow|Allow
available|Available
average|Average
cancel|Cancel
city|City
close|Close
connect|Connect
connect_all|Connect All
connected|Connected
date|Date
delete|Delete
deleting|Deleting
deny|Deny
deselect_all|Deselect All
disabled|Disabled
disconnect|Disconnect
disconnect_all|Disconnect All
disconnected|Disconnected
download|Download
downloading|Downloading
download_error|Download Error
edit_manual_entry|Edit Manual Entry
enable|Enable
enabling_bluetooth|Enabling Bluetooth...
enable_bluetooth|Enable Bluetooth
enabled|Enabled
end|End
enter_number|Enter a number
exit|Exit
exit_ion|Exit ION
export|Export
favorites|Favorites
finish|Finish
_fixed|Fixed
forget|Forget
forget_all|Forget All
graph_information|Graph Information
help|Help
highest|Highest
inactive|Inactive
include|Include
library|Library
link|Link
link_none|Not Linked
loading|Loading...
location|Location
long_range_mode|Long-Range Mode
lowest|Lowest
main|Main
measurement|Measurement
manual|Manual
maximum|Maximum
minimum|Minimum
na|N/A
name|Name
navigation|Navigation
_new|New
next|Next
notes|Notes
ok|OK
ok_done|OK - Done
open|Open
open_with|Open With
pdf|PDF
pick_time|Pick Time
pick_unit|Pick Unit
please_wait|Please Wait
reconnect|Reconnect
record|Record
reenable|Re-enable
remote_change_unit|Remote Change Unit
remove|Remove
remove_selected|Remove Selected
rename|Rename
reports|Reports
request_shutdown|Shutdown ION
request_shutdown_message|Shutting down ION will disconnect all of your devices.
reset|Reset
save|Save
saving|Saving
scan|Scan
scanning|Scanning
screenshot|Screenshot
select_all|Select All
select_a_sensor|Select a Sensor
settings|Settings
spreadsheet|Spreadsheet
stable|Stable
start|Start
state|State
text|Text
time|Time
title|Title
undo|Undo
unit|Unit
updated|Updated
whats_new_in|What\'s New in {0}
zip|Zip Code
alarm_high|High Alarm
alarm_high_for_1arg|{0}\'s High Alarm
alarm_high_for_summary_2arg|The High Alarm for {0} has risen above {1}.
alarm_high_summary|Trigger a notification when the sensor\'s reading rises above the set value.
alarm_low|Low Alarm
alarm_low_for_1arg|{0}\'s Low Alarm
alarm_low_for_summary_2arg|The Low Alarm for {0} has dropped below {1}.
alarm_low_summary|Trigger a notification when the sensor\'s reading drops below the set value.
alarm_sensor|Sensor Alarms
alarms|Alarms
analyzer|System Analyzer
analyzer_add_from|Add From...
analyzer_added_to_high|Added Sensor to High Side in the System Analyzer
analyzer_added_to_low|Added Sensor to Low Side in the System Analyzer
analyzer_complete_swap|Complete Swap?
analyzer_create_editable_pressure|Create Editable Pressure Entry
analyzer_create_editable_temperature|Create Editable Temperature Entry
analyzer_drag_to_set_low|Drag to set low side Viewer
analyzer_drag_to_set_high|Drag to set high side Viewer
